year_joined,host_type,count
2008.0,Superhosts,1.0
2009.0,Superhosts,30.0
2010.0,Superhosts,13.0
2011.0,Superhosts,29.0
2012.0,Superhosts,60.0
2013.0,Superhosts,95.0
2014.0,Superhosts,197.0
2015.0,Superhosts,178.0
2016.0,Superhosts,201.0
2017.0,Superhosts,101.0
2018.0,Superhosts,63.0
2019.0,Superhosts,58.0
2020.0,Superhosts,156.0
2021.0,Superhosts,72.0
2022.0,Superhosts,44.0
2023.0,Superhosts,78.0
2024.0,Superhosts,69.0
2025.0,Superhosts,0.0
2008.0,Regular Hosts,0.0
2009.0,Regular Hosts,0.0
2010.0,Regular Hosts,80.0
2011.0,Regular Hosts,79.0
2012.0,Regular Hosts,99.0
2013.0,Regular Hosts,128.0
2014.0,Regular Hosts,359.0
2015.0,Regular Hosts,277.0
2016.0,Regular Hosts,532.0
2017.0,Regular Hosts,211.0
2018.0,Regular Hosts,335.0
2019.0,Regular Hosts,232.0
2020.0,Regular Hosts,134.0
2021.0,Regular Hosts,77.0
2022.0,Regular Hosts,49.0
2023.0,Regular Hosts,300.0
2024.0,Regular Hosts,90.0
2025.0,Regular Hosts,5.0
